[2024-12-15 00:34:12] [info] Log initialize done.
[2024-12-15 00:34:12] [info] Engine initialize done.
[2024-12-15 00:34:16] [debug] FPS : 0.0003512
[2024-12-15 00:34:17] [debug] FPS : 0.0002229
[2024-12-15 00:34:17] [debug] FPS : 0.0002402
[2024-12-15 00:34:17] [debug] FPS : 0.0004417
[2024-12-15 00:34:18] [debug] FPS : 0.0003916
[2024-12-15 00:34:18] [debug] FPS : 0.0004683
[2024-12-15 00:34:18] [debug] FPS : 0.0002281
[2024-12-15 00:34:18] [debug] FPS : 0.0001797
[2024-12-15 00:34:18] [debug] FPS : 0.0002151
[2024-12-15 00:34:18] [debug] FPS : 0.0002123
[2024-12-15 00:34:19] [debug] FPS : 0.0001864
[2024-12-15 00:34:19] [debug] FPS : 0.0003402
[2024-12-15 00:34:19] [debug] FPS : 0.000529
[2024-12-15 00:34:19] [debug] FPS : 0.0002982
[2024-12-15 00:34:19] [debug] FPS : 0.0002736
[2024-12-15 00:34:19] [debug] FPS : 0.0001571
[2024-12-15 00:34:19] [debug] FPS : 0.0002879
[2024-12-15 00:34:19] [debug] FPS : 0.0002788
[2024-12-15 00:34:20] [debug] FPS : 0.0002058
[2024-12-15 00:34:20] [debug] FPS : 0.000187
[2024-12-15 00:34:20] [debug] FPS : 0.0001588
[2024-12-15 00:34:20] [debug] FPS : 0.0001767
[2024-12-15 00:34:20] [debug] FPS : 0.0001899
[2024-12-15 00:34:20] [debug] FPS : 0.0001786
[2024-12-15 00:34:21] [debug] FPS : 0.0002884
[2024-12-15 00:34:21] [debug] FPS : 0.0001565
[2024-12-15 00:34:21] [debug] FPS : 0.0001997
[2024-12-15 00:34:22] [debug] FPS : 0.0003061
[2024-12-15 00:34:22] [debug] FPS : 0.0002098
[2024-12-15 00:34:22] [debug] FPS : 0.0001658
[2024-12-15 00:34:22] [debug] FPS : 0.0005879
[2024-12-15 00:34:22] [debug] FPS : 0.0002494
[2024-12-15 00:34:22] [debug] FPS : 0.0002079
[2024-12-15 00:34:22] [debug] FPS : 0.0002295
[2024-12-15 00:34:23] [debug] FPS : 0.0002173
[2024-12-15 00:34:23] [debug] FPS : 0.0001762
[2024-12-15 00:34:23] [debug] FPS : 0.0002161
[2024-12-15 00:34:23] [debug] FPS : 0.0001549
[2024-12-15 00:34:23] [debug] FPS : 0.0002165
[2024-12-15 00:34:23] [debug] FPS : 0.0001893
[2024-12-15 00:34:23] [debug] FPS : 0.0001819
