[2024-12-15 00:49:18] [info] Log initialize done.
[2024-12-15 00:49:18] [info] Engine initialize done.
[2024-12-15 00:49:20] [debug] frame per sec : 2343.567, delta time 0.0004267, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 113.58989, delta time 0.0088036, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 22371.365, delta time 4.47e-05, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 71428.57, delta time 1.4e-05, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 149253.73, delta time 6.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 158730.16, delta time 6.3e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 156250, delta time 6.4e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 82644.625, delta time 1.21e-05, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 161290.33, delta time 6.2e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 163934.42, delta time 6.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 163934.42, delta time 6.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 172413.8, delta time 5.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 158730.16, delta time 6.3e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 163934.42, delta time 6.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 169491.53, delta time 5.9e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 172413.8, delta time 5.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 169491.53, delta time 5.9e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 166666.66, delta time 6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 163934.42, delta time 6.1e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 169491.53, delta time 5.9e-06, sex sex sex!!
