[2025-01-04 22:41:17] [info] Log initialize done.
[2025-01-04 22:41:17] [debug] C:\Users\Ahnjiwoo\Desktop\Projects\CrabEngine\DemoGame\Assets\Flipbook
[2025-01-04 22:41:17] [debug] C:\Users\Ahnjiwoo\Desktop\Projects\CrabEngine\DemoGame\Assets\Flipbook\Player_Crouch_Shot_Right.json
[2025-01-04 22:41:17] [trace] image file load "Player_Crouch_Shot_Right"
[2025-01-04 22:41:17] [info] image file load done "Player_Crouch_Shot_Right"
[2025-01-04 22:41:17] [debug] C:\Users\Ahnjiwoo\Desktop\Projects\CrabEngine\DemoGame\Assets\Flipbook\SampleFlipbook.json
[2025-01-04 22:41:17] [trace] image file load "Older_Walk"
[2025-01-04 22:41:17] [info] image file load done "Older_Walk"
[2025-01-04 22:41:17] [debug] C:\Users\Ahnjiwoo\Desktop\Projects\CrabEngine\DemoGame\Assets\Mesh
[2025-01-04 22:41:17] [debug] C:\Users\Ahnjiwoo\Desktop\Projects\CrabEngine\DemoGame\Assets\Sprite
[2025-01-04 22:41:17] [debug] C:\Users\Ahnjiwoo\Desktop\Projects\CrabEngine\DemoGame\Assets\Sprite\SampleSprite.json
[2025-01-04 22:41:17] [trace] image file load "rio"
[2025-01-04 22:41:17] [info] image file load done "rio"
[2025-01-04 22:41:17] [trace] image file load "engine_icon"
[2025-01-04 22:41:17] [info] image file load done "engine_icon"
[2025-01-04 22:41:17] [trace] image file load "play_button"
[2025-01-04 22:41:17] [info] image file load done "play_button"
[2025-01-04 22:41:17] [trace] image file load "simul_button"
[2025-01-04 22:41:17] [info] image file load done "simul_button"
[2025-01-04 22:41:17] [trace] image file load "pause_button"
[2025-01-04 22:41:17] [info] image file load done "pause_button"
[2025-01-04 22:41:17] [trace] image file load "reset_button"
[2025-01-04 22:41:17] [info] image file load done "reset_button"
[2025-01-04 22:41:17] [trace] image file load "next_button"
[2025-01-04 22:41:17] [info] image file load done "next_button"
[2025-01-04 22:41:17] [trace] image file load "camera_icon"
[2025-01-04 22:41:17] [info] image file load done "camera_icon"
[2025-01-04 22:41:17] [trace] image file load "move_icon"
[2025-01-04 22:41:17] [info] image file load done "move_icon"
[2025-01-04 22:41:17] [trace] image file load "rotation_icon"
[2025-01-04 22:41:17] [info] image file load done "rotation_icon"
[2025-01-04 22:41:17] [trace] image file load "scaling_icon"
[2025-01-04 22:41:17] [info] image file load done "scaling_icon"
[2025-01-04 22:41:17] [trace] image file load "gear_icon"
[2025-01-04 22:41:17] [info] image file load done "gear_icon"
[2025-01-04 22:41:17] [trace] image file load "tag_icon"
[2025-01-04 22:41:17] [info] image file load done "tag_icon"
[2025-01-04 22:41:17] [trace] image file load "transform_icon"
[2025-01-04 22:41:17] [info] image file load done "transform_icon"
[2025-01-04 22:41:17] [trace] image file load "plus_icon"
[2025-01-04 22:41:17] [info] image file load done "plus_icon"
[2025-01-04 22:41:17] [trace] image file load "camera_icon"
[2025-01-04 22:41:17] [info] image file load done "camera_icon"
[2025-01-04 22:41:17] [trace] image file load "sprite_icon"
[2025-01-04 22:41:17] [info] image file load done "sprite_icon"
[2025-01-04 22:41:17] [trace] image file load "flipbook_icon"
[2025-01-04 22:41:17] [info] image file load done "flipbook_icon"
[2025-01-04 22:41:17] [trace] image file load "mesh_icon"
[2025-01-04 22:41:17] [info] image file load done "mesh_icon"
[2025-01-04 22:41:17] [trace] image file load "entity_icon"
[2025-01-04 22:41:17] [info] image file load done "entity_icon"
[2025-01-04 22:41:17] [trace] image file load "plus_icon"
[2025-01-04 22:41:17] [info] image file load done "plus_icon"
[2025-01-04 22:41:17] [trace] image file load "doc_icon"
[2025-01-04 22:41:17] [info] image file load done "doc_icon"
[2025-01-04 22:41:17] [trace] image file load "script_icon"
[2025-01-04 22:41:17] [info] image file load done "script_icon"
[2025-01-04 22:41:17] [trace] image file load "mesh_icon"
[2025-01-04 22:41:17] [info] image file load done "mesh_icon"
[2025-01-04 22:41:17] [trace] image file load "folder_icon"
[2025-01-04 22:41:17] [info] image file load done "folder_icon"
[2025-01-04 22:41:17] [trace] image file load "refresh_icon"
[2025-01-04 22:41:17] [info] image file load done "refresh_icon"
[2025-01-04 22:41:17] [trace] image file load "search_icon"
[2025-01-04 22:41:17] [info] image file load done "search_icon"
[2025-01-04 22:41:17] [info] Engine initialize done.
[2025-01-04 22:41:17] [info] Load Scene Data: DemoScene (path: C:\Users\Ahnjiwoo\Desktop\Projects\CrabEngine\DemoGame\Scenes\DemoScene.json)
[2025-01-04 22:41:17] [debug] Event Occured => WindowResizeEvent : (2398, 1288)
[2025-01-04 22:41:30] [error] entity has to have RigidBody2D component.
[2025-01-04 22:41:38] [error] entity has to have RigidBody2D component.
[2025-01-04 22:42:58] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:42:58] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:43:04] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:43:05] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:43:07] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:43:09] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:43:10] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:43:11] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:43:46] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:43:48] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:43:58] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:44:00] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:44:08] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:44:10] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:44:25] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:44:28] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:44:49] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:44:56] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:45:06] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:45:11] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:45:17] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:45:23] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:45:27] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:45:27] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:45:32] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:45:34] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:45:41] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:45:44] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:45:49] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:45:55] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:45:57] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:46:25] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:46:44] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:46:45] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:46:47] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:46:47] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:46:49] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:46:51] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:46:59] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:47:01] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:47:07] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:47:10] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:47:11] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:47:12] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:47:23] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:47:25] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:47:29] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:47:31] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:47:39] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:47:43] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:47:49] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:47:51] [debug] Event Occured => SetRunTypeEvent : Edit
[2025-01-04 22:48:00] [debug] Event Occured => SetRunTypeEvent : Runtime
[2025-01-04 22:48:01] [debug] Event Occured => SetRunTypeEvent : Edit
